id,region_code,runway_length_m,hub_score
1,2,3044,0.33952351779998596
2,0,3369,0.28120794199293925
3,0,2096,0.20922713354278266
4,0,3614,0.6429349835874284
5,0,3971,0.37660591209615735
6,2,3763,0.16046394421330742
7,3,3577,0.2550796301412346
8,0,3127,0.08321050495114392
9,2,3841,0.3883955269178549
10,3,3737,0.28745502609485635
11,1,3396,0.21939362943434645
12,0,3203,0.11240583700103361
13,2,3019,0.3171218738893259
14,0,2585,0.2569474311014185
15,2,3813,0.2581037568464304
16,1,2114,0.192086567212163
17,3,3015,0.2577309417435252
18,0,3282,0.2911892111529233
