id,flight_id,ticket_price,loyalty_tier
1,201,4270.753878178577,1
2,154,3389.980880700011,2
3,73,4066.6968812653645,0
4,201,3856.6150624819893,2
5,296,833.5494429890929,2
6,17,2177.3295832751796,3
7,129,849.6206240599571,0
8,217,1252.6543655297255,1
9,61,4359.372160790157,1
10,104,2417.1706316025925,0
11,42,2723.2546990290384,1
12,25,974.3852296160834,0
13,39,1630.1317516391005,2
14,291,1228.2062252965627,1
15,131,1110.3122061402896,0
16,229,3226.0078872482536,1
17,108,1358.7308534640026,1
18,172,3196.8758815000506,0
19,102,386.42760913191415,3
20,354,794.6945282827991,3
21,12,1445.2472446006143,1
22,275,3025.5298927888894,0
23,101,3411.622100928142,2
24,44,2269.3131372196826,1
25,305,2284.375481428422,0
26,17,3650.132571853229,1
27,330,177.52334965135395,1
28,57,1771.3411199236807,1
29,311,4111.66457988424,1
30,303,3055.775110045524,1
31,12,1752.4129505015599,3
32,318,4537.071482415402,0
33,80,3885.8513645019743,2
34,216,1397.9876914599938,2
35,339,3261.9202038760127,1
36,264,3019.178568125888,1
37,149,2065.820778791015,1
38,81,1898.0847881035234,1
39,215,1783.4463264009494,2
40,374,3124.0633386386694,1
41,198,2267.8086887552804,3
42,200,4176.129254931968,0
43,25,3381.052819056413,0
44,89,442.66486797622724,1
45,268,3236.8242967580136,0
46,143,1428.6224388509056,0
47,59,3004.7787591017714,0
48,365,3432.6464624069117,0
49,26,1231.0630268546593,0
50,47,2338.6073599138062,3
51,288,1032.5918278134322,0
52,266,356.46049135389075,2
53,16,1954.5344750807585,2
54,199,1878.4269320453607,3
55,282,4977.85440445086,0
56,86,2287.1265208684467,2
57,250,1734.490792413782,1
58,391,2944.3275329117055,1
59,270,534.9602311280655,1
60,335,4812.1621061785845,2
61,117,3211.3042233960623,0
62,7,3798.705317710154,2
63,137,935.3418970521959,1
64,371,2106.441479725499,2
65,176,2171.1766556413286,3
66,328,4126.851575115325,0
67,315,106.05973082110627,3
68,215,1574.1802309309498,0
69,82,4908.058234287089,0
70,223,2426.9440631804714,0
71,372,1974.3787731956404,0
72,103,687.1621098864671,1
73,273,4873.406680277276,0
74,14,198.1291440365399,0
75,159,3712.1831025354913,3
76,152,3866.1390434636915,2
77,108,1293.9179087129464,2
78,188,3390.636373703883,2
79,301,555.3528074590106,2
80,98,1359.5316055171913,0
81,131,3960.7197426320986,0
82,293,4336.962340964347,2
83,171,3081.5834220329775,0
84,183,2583.5083159203646,1
85,364,880.5897010330035,0
