id,distance,airline_code,is_delayed
1,574.5071229516849,2,0
2,479.2603548243223,2,0
3,597.1532807151038,0,1
4,728.4544784612037,0,1
5,464.8769937914996,2,1
6,464.8794564576229,1,0
7,736.8819223261087,0,0
8,615.1152093729363,0,0
9,429.5788421097572,2,1
10,581.3840065378947,0,0
11,430.48734607813066,1,1
12,430.1405369644615,2,1
13,536.2943407349051,0,1
14,213.00796330133034,2,1
15,241.26232512304506,0,1
16,415.6568706138541,0,1
17,348.0753319498364,0,0
18,547.1370998892911,1,0
19,363.79638867181836,1,1
20,288.1544447997063,2,1
21,719.8473153382331,0,0
22,466.13355492701965,0,1
23,510.12923070318857,1,1
24,286.28777206798145,0,0
25,418.3425913212226,1,1
26,516.6383884564799,0,1
27,327.3509633866546,2,1
28,556.3547027518508,0,0
29,409.9041965121793,0,0
30,456.2459375310085,1,0
31,409.74400816559046,0,1
32,777.8417276763407,0,1
33,497.9754162893099,1,0
34,341.34336065661495,2,1
35,623.3817368154783,2,1
36,316.8734525043467,1,1
37,531.3295392507133,1,1
38,206.04948141803368,1,1
39,300.7720926652354,1,0
40,529.5291853803685,1,1
41,610.7699869993115,2,0
42,525.7052421784956,2,1
43,482.6527576417639,1,0
44,454.83444566160665,0,1
45,278.22170144488587,1,0
46,392.02336874079367,0,1
47,430.90418435603186,1,0
48,658.5683339328374,1,1
49,551.5427434352692,2,0
50,235.5439766955899,0,1
51,548.6125954092192,0,0
52,442.2376579375525,2,0
53,398.46169995410617,2,1
54,591.7514433261301,2,1
55,654.6499283743926,2,0
56,639.6920178674297,0,1
57,374.11737151660424,0,0
58,453.6181436223178,1,0
59,549.6895147105346,1,0
60,646.3317690683539,2,1
61,428.1238643232065,2,0
62,472.1511535004274,2,0
63,334.0497538990958,1,1
64,320.5690063878994,1,1
65,621.8788733591297,1,1
66,703.4360042856234,1,1
67,489.19848176294994,1,0
68,650.5299346838036,1,0
69,554.2454037571451,1,0
70,403.2320368092314,2,0
71,554.2093408262621,2,1
72,730.7054849698955,2,0
73,494.62609413350725,2,0
74,734.6965483721009,1,1
75,107.03823438653836,0,0
76,623.2853756562836,1,0
77,513.0570602357257,0,0
78,455.14889743011986,2,0
79,513.7641164803254,1,0
80,201.8646628098661,2,0
81,467.0492168243732,1,1
82,553.5668857267619,2,1
83,721.6841067112274,0,0
84,422.2594672589529,0,0
85,378.72595956602186,0,1
86,424.7364434623195,1,0
87,637.3103176553111,0,0
88,549.3126664489527,1,0
89,420.53596943494415,0,1
90,576.9901149670034,0,0
91,514.5616324022061,1,1
92,645.2967485799334,1,0
93,394.69203591839715,0,1
94,450.8506780103348,1,1
95,441.1837770301764,0,0
